                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.32728,                0.27174,                0.93153,                 0.8986,                0.88625,                0.94148,                0.83704,                0.48062,                0.38512,                 1.0258,              0.0008318,              0.0008318,              0.0008318
                     61,                0.34676,                0.27372,                0.92054,                0.89657,                0.94444,                0.95594,                0.85654,                0.50546,                0.35705,                 1.0315,               0.000812,               0.000812,               0.000812
                     62,                0.35131,                0.27978,                0.92434,                0.96511,                0.92196,                 0.9865,                0.89436,                0.43241,                0.30237,                 0.9767,              0.0007922,              0.0007922,              0.0007922
                     63,                0.35776,                0.27892,                0.92241,                 0.9754,                0.92222,                0.98173,                0.89684,                0.40765,                0.29142,                0.96588,              0.0007724,              0.0007724,              0.0007724
                     64,                0.35387,                0.28162,                0.93002,                0.96167,                0.97778,                0.98506,                 0.9057,                0.40647,                0.27803,                0.96364,              0.0007526,              0.0007526,              0.0007526
                     65,                0.33753,                0.27312,                0.92772,                0.95602,                0.96607,                0.98134,                0.88981,                0.42158,                0.27515,                0.96873,              0.0007328,              0.0007328,              0.0007328
                     66,                0.34003,                0.27431,                0.92818,                0.94668,                0.98632,                0.98469,                0.89267,                0.46981,                 0.2883,                0.99129,               0.000713,               0.000713,               0.000713
                     67,                0.32774,                0.27424,                0.91968,                0.90421,                0.97778,                0.98009,                0.89666,                0.42855,                0.28293,                0.96663,              0.0006932,              0.0006932,              0.0006932
                     68,                0.33463,                0.27369,                0.92242,                0.91455,                0.95139,                0.97323,                0.89628,                0.40561,                0.29044,                 0.9461,              0.0006734,              0.0006734,              0.0006734
                     69,                0.34089,                0.27097,                0.91648,                0.93459,                0.95256,                0.98295,                0.89463,                0.39638,                0.27032,                 0.9499,              0.0006536,              0.0006536,              0.0006536
                     70,                0.31634,                0.25774,                0.92006,                0.95423,                0.92652,                0.98635,                0.89656,                0.40936,                0.27493,                0.95775,              0.0006338,              0.0006338,              0.0006338
                     71,                0.32792,                  0.268,                0.91046,                0.98782,                0.94444,                0.99106,                0.91492,                0.38458,                0.26686,                 0.9403,               0.000614,               0.000614,               0.000614
                     72,                0.31263,                 0.2544,                0.91558,                0.90506,                0.98889,                0.98641,                 0.9033,                0.40393,                0.26706,                0.95161,              0.0005942,              0.0005942,              0.0005942
                     73,                0.31056,                 0.2505,                0.91491,                0.94701,                0.93333,                0.98587,                0.90026,                0.41621,                0.26704,                0.96878,              0.0005744,              0.0005744,              0.0005744
                     74,                0.30687,                0.26018,                0.91968,                0.99596,                0.95556,                0.98679,                0.90722,                0.40895,                0.24957,                 0.9655,              0.0005546,              0.0005546,              0.0005546
                     75,                0.30617,                0.24723,                0.90906,                0.98645,                0.97778,                0.98836,                0.90919,                0.42053,                0.25754,                0.96381,              0.0005348,              0.0005348,              0.0005348
